,Path,Train,Active,Train type subgroup,From,To,First station,Last station,Prev.station,Foll. station,OccTime from,OccTime to,Transfer,Platfrom_Sim,Arrival_Sim,Departure_Sim,StopType_Sim,Arrival lateness,Departure lateness,Length of overlap [m],OvLap Vmax [km/h],Number of runs,Seas.,Station Kürzel,Station,Station abbreviation 2,Station name 2,Attribute key of station,Line,Route,Platform,Overlap,TimeZone,Scheduled arrival [D HH:MM:SS],Activity at arrival,Scheduled departure [D HH:MM:SS],Activity at departure,Operational directives,Fix,Local DoO,Offered DoO,FeasArr [D HH:MM:SS],FeasDep [D HH:MM:SS],FeasDw [s],SchDw [s],MinDw [s],RTs,RTa,Length tr [km],Departure state,Handling time [s],ArrGrn,Dep(A),DepVL/(VL),Arr,Proceed request,Exit message,Stabling message,Reason for stop TOC,Reason for stop Traction unit provider,Reason for stop Carriage service,Booklet of changes,Standard train,BPmax,Example,Model timetable,Vmax model [km/h],BP model,Loading table,Loading category,Load from LT [t],Corridor,MRTech [s],StAll [s],MinRT [s],EngAll [s],PerfAll [s],PathAll [s],StndRT [s],RTAllow [s],SchedRT [s],FeasRT [s],TimRefN,StAll,Deviation StAll [s],Actual StAll,ConnArr,ConnWait,State of access plan,StopType,Track for passing through,Train route for passing through,Creat.,Created by,Created on,Last edit,Last edit by,Last edit on,RTAllow [%],DwAll [s],RTAll [s],TotAll [s],SimAll [s],Change of direction of travel,Train control system/entry,Train control system/leaving,Train formation,ID,Abbr.,Name,Description,Path colour,TrainClass,Train con.. sys.,PZB,KVBP,TL,Speed vehicle dynamic,Speed profile signalling system,Type of run,St. braking rate [m/s²],Max. braking rate [m/s²],Traction cut off time [s],Brake build-up time [s],Min stop time f. unsched. stop [s],Percentage of braking power,Parking brake percentage,BrSet,Rel. traction,Max TF [kN],restr. Tforce,Tr tot L [m],Tr tot M [t],Edit cars,# cars,TrU type,TrU type,Traction type per TrU,Pos. TrU,Loading category of traction unit,Vmax [km/h],Always Vmax,Vmax from lateness [s],<html>V<small>normal</small> below lateness [s]</html>,Trailer length [m],Trailer TareMass [t],Trailer LoadMass [t],Trailer TotMass [t],# stand,# stand TrU,# stand car,# seats,# seats TrU,# seats car,RollR,Max. acc.,Base  priority,Threshold 1. prio change [s],1. dynamic priority change,Threshold 2. prio change [2],2. dynamic priority change,Pushable,Noise exposure,without conductor,Override of emergency brake,Pressure strengthened,Int. brake percentage customer,Reversing train,Operational directives/profiles,Attribute key,Δ RequArr [min],Δ RequDep [min],RequArr,RequDep,RequDw,RequRT,RequPlf,RequRoute,Ordered dwell time [s],Vfeas [km/h],Vmax [km/h],Vstat [km/h],Applied work [kWh],Board,Alight,ChanBoard,ChanAlight,TotBoard,TotAlight,DiffPass,ArrPass,DepPass,Train category,Orderer,Orderer name,Operator,Operator name,Requester,Traction unit provider,Name of traction unit provider,Traction unit provider TrU,Quality level,Loading gauge excess class,Bimodal traffic code,Wagon transfer,Traction unit transfer,Waiting time connections,Comment,Pictograms,Buffer time [s],Selection,PrM: From stn.,PrM: From stn. abbr.,PrM: To stn.,PrM: To station abbr.,PrM: Start stn.,PrM: Start stn. abbr.,PrM: Dest. stn.,PrM: Dest. stn. abbr.,PrM: DoO,PrM: Arr.,PrM: Prnt.Arr.,PrM: Dep,PrM: Prnt.Dep.,Local SchedArr,Local SchedDep,Routing station,Look-ahead Routing stations,Look-ahead range Time [min],Alternative tracks,Bidi routing threshold [%],Ignore overlap conflicts for bidi routing,Minimum lateness Overtaking [s],Minimum lateness Dwell routing [s],Minimum lateness Replatforming [s],Minimum lateness Change of station route [s],Minimum lateness for  alternative line routing [min],Intervention range Overtaking [min],Intervention range Bidi routing [min],Intervention range Replatforming [min],Intervention range Change of station route [min],Intervention range  Routing closure/station [min],Intervention range Alternative line routing [min],Rout. merging  at junction,Overtaking routing,Dwell  Routing,RePlat- forming,Entry  routing,Bidi routing,Coupling Routing,AlternativeRoute Routing,Rerouting closure/station,Alternative line routing,Ignore conflicts w. follow. trains,Ignore conflicts  dur. arr/dep,3 to 4 trains routing trial,Alternative line,Baseline,Preoccupation ETCS from,Calculation of acceleration a1,Calculation of acceleration a2,User-defined value A1 [m/s²],User-defined value A2 [m/s²],Braking with train resistances,Braking with real gradients,Activate change request 1186,dV_ebi_min [km/h],dV_ebi_max [km/h],V_ebi_min [km/h],V_ebi_max [km/h],dV_sbi_min [km/h],dV_sbi_max [km/h],V_sbi_min [km/h],V_sbi_max [km/h],dV_warning_min [km/h],dV_warning_max [km/h],V_warning_min [km/h],V_warning_max [km/h],T_warning [s],T_preindication (Baseline 3.6.0 = 0 s) [s],M_rotating_min [%],M_rotating_max [%],V_comp [km/h],acc. to ERA Subset 41,T_driver [s],P2,C2,P3,C3,Loading gauge exceedance,Rola Höhe,Rola Breite,EC number,EC information,Profile numbers,Remark on CTL,Change class CTL,Local train number,Train path number,Reference path,Production form,Combined traffic load,Profiles,EC,External references,Remark CTL
SCJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR-4,IR Express EastboundIR-4,1,,GBD,PKS,0,0,PEF,GBJ, 1:33:57, 1:43:39,,,,,,,,1202,1000,,,SCJ,SCT Parkes,,,,-24403,[PTJ]-[24403/1]-[1]-[GBJ]-[24403/1] (1),U-1,EB2,NSW/VIC, 1:37:18,, 1:40:18,,,0,Daily,, 1:37:18, 1:40:18,180,180,180, 0:08:13, 0:11:32,18.971,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,493,0,493,0,0,0,493,0,493,493,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR-4,IR Express EastboundIR-4,1,,GBD,PKS,0,0,SCJ,PKS, 1:43:27, 1:57:28,,,,,,,,407,1000,,,GBJ,Goobang Jct,,,,-24101,[GBDdn]-[24403/1]-[1]-[PKS]-[24101/1] (1),U-1,O2,NSW/VIC, 1:48:31,, 1:54:31,,,0,Daily,, 1:48:31, 1:54:31,360,360,360, 0:00:00, 0:22:45,23.236,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,206,0,206,0,0,0,206,0,206,206,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR-4,IR Express EastboundIR-4,1,,GBD,PKS,0,1,GBJ,, 1:55:01, 1:58:07,,,,,,,,250,1000,,,PKS,Parkes,,,,24101,[GBJ]-[24101/1]-[1]-[PKWup]-[24101/1] (1),U-1,Overlap without name,NSW/VIC,1:57:57,, 1:57:57,,,0,Daily,,1:57:57, 1:57:57,,,,, 0:32:11,25.413,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,,,,,,0,ATC,,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBD,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-3,IR Express EastboundIR1-3,1,,GBD,PKS,1,0,,PWF, 7:58:47, 8:06:25,,,,,,,,1777,1000,,,GBD,Gunningbland,,,,24403,[BGT]-[24403/1]-[1]-[GBJ]-[24403/1] (1),U-1,EB,NSW/VIC,8:00:28,, 8:00:28,,,0,Daily,,8:00:28, 8:00:28,,,, 0:11:32,,,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,692,0,692,0,0,0,692,0,692,692,0,0%,0,0,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWF,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-3,IR Express EastboundIR1-3,1,,GBD,PKS,0,0,GBD,PEF, 7:58:47, 8:10:22,,,,,,,,,,,,PWF,Parkes PN Terminal West Fork,,,,24403,[GBD]-[24403/1]-[1]-[SCJ]-[24403/1] (2),U-1,,NSW/VIC,8:09:12,, 8:09:12,,,0,Daily,,8:09:12, 8:09:12,,,,, 0:08:44,16.184,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,,,,,,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEF,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-3,IR Express EastboundIR1-3,1,,GBD,PKS,0,0,PWF,SCJ, 8:08:39, 8:16:42,,,,,,,,,,,,PEF,Parkes East Fork,,,,24403,[PWF]-[24403/1]-[1]-[SCJ]-[24403/1] (1),T-1,,,8:10:09,, 8:10:09,,,0,Daily,,8:10:09, 8:10:09,,,,, 0:09:41,17.631,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,,,,,,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-3,IR Express EastboundIR1-3,1,,GBD,PKS,0,0,PEF,GBJ, 8:08:39, 8:18:21,,,,,,,,1202,1000,,,SCJ,SCT Parkes,,,,-24403,[PTJ]-[24403/1]-[1]-[GBJ]-[24403/1] (1),U-1,EB2,NSW/VIC, 8:12:00,, 8:15:00,,,0,Daily,, 8:12:00, 8:15:00,180,180,180, 0:08:13, 0:11:32,18.971,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,493,0,493,0,0,0,493,0,493,493,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-3,IR Express EastboundIR1-3,1,,GBD,PKS,0,0,SCJ,PKS, 8:18:09, 8:32:10,,,,,,,,407,1000,,,GBJ,Goobang Jct,,,,-24101,[GBDdn]-[24403/1]-[1]-[PKS]-[24101/1] (1),U-1,O2,NSW/VIC, 8:23:13,, 8:29:13,,,0,Daily,, 8:23:13, 8:29:13,360,360,360, 0:00:00, 0:22:45,23.236,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,206,0,206,0,0,0,206,0,206,206,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-3,IR Express EastboundIR1-3,1,,GBD,PKS,0,1,GBJ,, 8:29:43, 8:32:49,,,,,,,,250,1000,,,PKS,Parkes,,,,24101,[GBJ]-[24101/1]-[1]-[PKWup]-[24101/1] (1),U-1,Overlap without name,NSW/VIC,8:32:39,, 8:32:39,,,0,Daily,,8:32:39, 8:32:39,,,,, 0:32:11,25.413,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,,,,,,0,ATC,,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBD,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-4,IR Express EastboundIR1-4,1,,GBD,PKS,1,0,,PWF, 7:44:11, 7:51:49,,,,,,,,1777,1000,,,GBD,Gunningbland,,,,24403,[BGT]-[24403/1]-[1]-[GBJ]-[24403/1] (1),U-1,EB,NSW/VIC,7:45:52,, 7:45:52,,,0,Daily,,7:45:52, 7:45:52,,,, 0:11:32,,,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,692,0,692,0,0,0,692,0,692,692,0,0%,0,0,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWF,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-4,IR Express EastboundIR1-4,1,,GBD,PKS,0,0,GBD,PEF, 7:44:11, 7:55:46,,,,,,,,,,,,PWF,Parkes PN Terminal West Fork,,,,24403,[GBD]-[24403/1]-[1]-[SCJ]-[24403/1] (2),U-1,,NSW/VIC,7:54:36,, 7:54:36,,,0,Daily,,7:54:36, 7:54:36,,,,, 0:08:44,16.184,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,,,,,,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEF,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-4,IR Express EastboundIR1-4,1,,GBD,PKS,0,0,PWF,SCJ, 7:54:03, 8:02:06,,,,,,,,,,,,PEF,Parkes East Fork,,,,24403,[PWF]-[24403/1]-[1]-[SCJ]-[24403/1] (1),T-1,,,7:55:33,, 7:55:33,,,0,Daily,,7:55:33, 7:55:33,,,,, 0:09:41,17.631,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,,,,,,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-4,IR Express EastboundIR1-4,1,,GBD,PKS,0,0,PEF,GBJ, 7:54:03, 8:03:45,,,,,,,,1202,1000,,,SCJ,SCT Parkes,,,,-24403,[PTJ]-[24403/1]-[1]-[GBJ]-[24403/1] (1),U-1,EB2,NSW/VIC, 7:57:24,, 8:00:24,,,0,Daily,, 7:57:24, 8:00:24,180,180,180, 0:08:13, 0:11:32,18.971,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,493,0,493,0,0,0,493,0,493,493,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBJ,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-4,IR Express EastboundIR1-4,1,,GBD,PKS,0,0,SCJ,PKS, 8:03:33, 8:17:34,,,,,,,,407,1000,,,GBJ,Goobang Jct,,,,-24101,[GBDdn]-[24403/1]-[1]-[PKS]-[24101/1] (1),U-1,O2,NSW/VIC, 8:08:37,, 8:14:37,,,0,Daily,, 8:08:37, 8:14:37,360,360,360, 0:00:00, 0:22:45,23.236,,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,206,0,206,0,0,0,206,0,206,206,1,0%,0,0,,,Operates,Scheduled stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR1-4,IR Express EastboundIR1-4,1,,GBD,PKS,0,1,GBJ,, 8:15:07, 8:18:13,,,,,,,,250,1000,,,PKS,Parkes,,,,24101,[GBJ]-[24101/1]-[1]-[PKWup]-[24101/1] (1),U-1,Overlap without name,NSW/VIC,8:18:03,, 8:18:03,,,0,Daily,,8:18:03, 8:18:03,,,,, 0:32:11,25.413,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:45,,,,,,0,ATC,,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBD,/Inland Rail Trains/Goobang Jnc/Max path _ MB/Eastbound/EastboundIR2-3,IR Express EastboundIR2-3,1,,GBD,PKS,1,0,,PWF,13:08:37,13:16:15,,,,,,,,1777,1000,,,GBD,Gunningbland,,,,24403,[BGT]-[24403/1]-[1]-[GBJ]-[24403/1] (1),U-1,EB,NSW/VIC,13:10:18,,13:10:18,,,0,Daily,,13:10:18,13:10:18,,,, 0:11:32,,,,,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,692,0,692,0,0,0,692,0,692,692,0,0%,0,0,,,Operates,No stop,,,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,Matthew.Bentham,Matthew.Bentham,9/12/2024 14:12,0,,0,,0,0,ATC,ATC,IR 001/IR Express,IR 001,IR Express,IR Inland Rail Express,,,FrTr,M/P; Multiple aspect; ATC; ATC-DK,Automatically,1,0,Standard,,Train run,M/P (Constant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
